code,location:,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
596442,PoËÌtky,175,106,105,3,1,0,11,0,4,10,1,0,2,0,0,9,0,4,41,0,7,0,0,0,0,8,4
596451,PodÏöÌn,197,144,140,14,0,0,11,0,5,11,0,5,5,0,0,10,0,1,30,0,29,0,1,0,0,17,1
596469,PodolÌ,77,45,45,0,0,0,3,0,7,6,0,2,1,0,0,3,1,0,19,0,2,0,0,0,0,1,0
596477,Pokojov,127,66,66,2,1,0,5,0,1,4,1,0,3,0,0,7,2,1,20,0,10,0,0,0,0,9,0
596485,PolniËka,653,432,430,84,0,0,58,1,10,47,5,3,6,1,0,45,0,9,94,1,23,2,4,0,0,34,3
596493,ProsetÌn,316,196,194,15,1,0,17,0,14,14,4,3,2,0,0,18,0,5,42,0,35,0,0,2,1,21,0
596507,RaËice,41,32,32,7,0,0,3,0,1,4,0,0,0,0,0,5,0,1,5,0,4,0,0,0,0,2,0
588059,RaËÌn,99,68,68,6,0,0,2,0,4,5,0,0,1,0,0,2,0,6,24,1,9,0,0,0,0,3,5
596515,Radenice,126,78,78,3,0,0,6,0,5,8,1,0,0,0,0,9,1,3,24,2,11,0,0,0,0,5,0
596523,RadeöÌn,101,72,71,8,0,0,11,0,1,8,5,0,1,0,0,5,0,0,12,0,11,0,1,1,0,7,0
596531,RadeöÌnsk· Svratka,473,310,310,16,0,0,30,0,5,26,2,0,4,1,1,51,0,13,65,3,65,0,0,0,3,23,2
549924,Radkov,144,100,100,9,0,0,14,0,1,10,3,0,0,0,0,2,1,2,37,0,13,0,0,0,0,8,0
596540,RadÚoves,80,59,58,1,0,0,13,0,1,6,0,0,1,0,0,5,0,1,12,0,16,0,0,0,0,2,0
596558,RadÚovice,250,196,192,12,0,0,9,0,3,10,1,2,1,0,0,24,0,10,50,3,52,0,0,0,0,15,0
596566,RadostÌn,136,94,94,16,0,0,11,0,3,10,0,0,3,0,0,4,0,4,35,0,2,0,0,0,0,5,1
596574,RadostÌn nad Oslavou,710,499,498,19,0,0,41,0,15,36,2,3,4,1,0,26,1,18,124,0,168,0,2,0,0,34,4
587737,Rodkov,73,44,44,4,0,0,5,0,4,6,0,4,0,0,0,5,0,0,6,0,7,0,0,0,0,3,0
549941,RosiËka,38,31,31,0,0,0,8,2,2,1,0,0,0,0,0,0,0,3,8,0,7,0,0,0,0,0,0
596604,RousmÏrov,94,61,61,5,0,0,6,0,2,9,0,0,0,0,0,1,0,3,15,0,11,0,0,0,1,7,1
596612,RoveËnÈ,526,322,321,39,0,0,28,0,11,39,3,0,2,0,0,35,0,8,107,0,17,0,2,0,0,29,1
596639,RozseË,81,56,55,2,0,0,6,0,0,8,0,0,0,0,0,5,0,2,20,0,6,0,0,2,0,3,1
596647,Rozsochy,567,370,370,18,3,1,36,0,18,30,5,1,2,1,0,22,0,9,151,0,41,0,1,1,0,29,1
596655,Roûn·,634,425,425,25,2,0,67,2,14,40,3,5,6,0,1,33,0,10,140,1,41,0,3,1,0,30,1
596663,Ruda,312,183,181,9,0,0,13,0,6,13,2,1,3,0,1,15,0,14,36,0,56,0,0,0,0,10,2
596671,Rudolec,171,98,97,4,0,0,8,0,5,8,1,1,4,1,0,6,0,2,30,0,16,0,0,0,0,8,3
596680,ÿeËice,374,262,262,24,1,0,14,0,15,21,1,3,2,0,0,20,0,4,75,1,63,0,0,0,0,17,1
596701,S·zava,525,372,370,42,1,0,47,0,12,16,9,2,4,0,0,28,2,16,98,0,64,0,0,0,0,28,1
588237,SazomÌn,173,121,120,3,1,0,11,0,2,11,1,0,1,0,0,14,1,1,41,0,22,1,0,1,0,9,0
596710,Sej¯ek,137,102,102,10,1,0,7,0,11,4,4,2,2,0,1,2,0,4,23,0,15,0,0,0,0,16,0
596728,Sir·kov,187,134,134,18,0,0,13,2,4,13,1,1,2,0,0,2,0,4,37,1,17,0,3,2,0,14,0
